,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64
1676,0,0,1,15,4,0,0,0,0,0,9,12,0,0,0,0,0,1,14,6,0,0,0,0,0,1,16,4,3,3,0,0,0,2,16,8,16,15,2,0,0,1,16,16,10,5,12,0,0,0,13,15,8,12,10,0,0,0,0,13,15,10,1,0
3810,0,0,4,16,11,1,0,0,0,0,5,16,16,7,0,0,0,0,0,14,16,10,0,0,0,0,2,16,16,6,0,0,0,0,3,16,16,9,0,0,0,0,1,16,16,11,0,0,0,0,5,16,16,5,0,0,0,0,2,12,16,11,1,0
900,0,0,0,8,15,10,0,0,0,0,1,16,16,16,0,0,0,0,6,16,16,15,1,0,0,3,14,16,16,12,0,0,0,8,16,16,16,12,0,0,0,5,7,13,16,13,0,0,0,0,0,8,16,16,4,0,0,0,0,6,15,15,9,0
2795,0,0,4,15,16,7,0,0,0,0,13,12,16,9,0,0,0,0,2,1,16,7,0,0,0,0,0,5,15,3,0,0,0,0,0,14,10,0,0,0,0,0,6,16,2,0,0,0,0,0,9,16,11,7,0,0,0,0,5,16,16,10,0,0
1791,0,0,4,15,3,0,0,0,0,0,8,16,1,0,0,0,0,0,14,13,0,0,0,0,0,3,16,10,4,3,0,0,0,8,16,16,16,16,5,0,0,8,16,6,4,14,8,0,0,5,16,11,8,16,5,0,0,0,6,15,16,11,0,0
3801,0,0,5,16,11,0,0,0,0,1,16,5,12,11,3,0,0,3,13,0,5,16,2,0,0,4,12,0,0,16,4,0,0,5,11,0,1,16,3,0,0,5,13,0,0,12,1,0,0,0,14,7,6,12,0,0,0,0,4,14,12,2,0,0
3571,0,0,11,7,10,3,0,0,0,0,9,12,12,14,0,0,0,0,0,15,15,11,1,0,0,0,1,14,9,0,0,0,0,0,9,13,8,0,0,0,0,0,14,5,10,0,0,0,0,0,14,2,12,0,0,0,0,0,10,16,10,0,0,0
1792,0,0,7,14,4,0,0,0,0,1,16,16,16,7,0,0,0,4,16,16,16,14,0,0,0,0,13,16,16,11,0,0,0,0,8,16,16,1,0,0,0,0,10,16,16,6,0,0,0,0,11,16,16,13,0,0,0,0,6,12,13,10,0,0
2306,0,0,1,14,11,0,0,0,0,0,11,10,8,8,0,0,0,3,16,1,0,10,2,0,0,6,11,0,0,6,6,0,0,7,9,0,0,3,9,0,0,3,13,0,0,5,10,0,0,0,12,5,4,12,4,0,0,0,1,13,16,7,0,0
3447,0,0,10,8,10,12,6,0,0,2,16,14,12,15,11,0,0,3,9,2,4,14,2,0,0,0,0,1,14,4,0,0,0,0,0,5,14,0,0,0,0,0,1,13,6,0,0,0,0,1,12,16,1,0,0,0,0,0,14,10,0,0,0,0
2060,0,0,0,0,6,14,2,0,0,0,0,0,10,16,4,0,0,0,0,6,16,16,2,0,0,0,8,15,16,15,0,0,0,4,16,11,12,16,0,0,0,1,4,1,8,15,0,0,0,0,0,0,8,12,0,0,0,0,0,0,6,16,2,0
3094,0,0,7,15,4,0,0,0,0,0,14,16,12,0,0,0,0,0,12,6,16,0,0,0,0,0,0,10,16,2,0,0,0,0,0,8,14,15,3,0,0,0,0,0,0,9,11,0,0,0,5,9,9,15,11,0,0,0,9,14,12,9,1,0
3253,0,0,0,6,16,10,0,0,0,0,3,15,15,4,0,0,0,0,5,16,8,0,0,0,0,0,10,16,4,0,0,0,0,0,10,16,8,1,0,0,0,1,15,16,16,15,2,0,0,1,13,16,15,16,7,0,0,0,0,5,15,15,5,0
3470,0,0,8,14,13,3,0,0,0,0,16,16,16,15,0,0,0,0,13,12,4,16,2,0,0,0,2,15,14,15,2,0,0,0,4,15,16,7,0,0,0,0,15,14,8,15,4,0,0,4,16,12,6,16,7,0,0,0,6,13,12,8,0,0
2321,0,1,9,15,14,3,0,0,0,7,12,2,10,12,0,0,0,8,11,0,10,16,1,0,0,3,16,8,9,16,3,0,0,0,4,11,11,16,5,0,0,0,0,0,0,9,8,0,0,0,6,4,0,9,8,0,0,0,8,15,16,12,2,0
2854,0,0,8,16,16,12,0,0,0,4,16,16,16,15,2,0,0,2,11,16,16,11,0,0,0,0,0,15,16,7,0,0,0,0,0,0,11,16,2,0,0,0,7,0,0,15,5,0,0,2,16,7,7,15,7,0,0,0,8,14,12,5,0,0
708,0,0,11,16,14,5,0,0,0,0,15,10,8,8,0,0,0,0,12,7,0,0,0,0,0,0,16,16,9,0,0,0,0,0,15,11,15,1,0,0,0,0,0,0,8,5,0,0,0,0,2,3,11,7,0,0,0,0,12,16,15,3,0,0
3814,0,0,9,16,6,0,0,0,0,2,14,16,16,8,3,0,0,0,14,16,16,16,11,0,0,0,14,16,12,5,1,0,0,0,9,16,5,0,0,0,0,0,15,16,5,0,0,0,0,0,16,16,8,0,0,0,0,0,10,13,1,0,0,0
2148,0,0,0,14,6,0,0,0,0,0,6,16,5,5,0,0,0,0,14,10,10,10,0,0,0,4,16,3,13,10,0,0,0,11,16,9,16,15,7,0,0,16,16,16,16,15,4,0,0,4,4,13,16,2,0,0,0,0,1,15,11,0,0,0
915,0,0,9,12,13,15,16,3,0,1,14,13,12,16,14,1,0,0,0,0,6,15,3,0,0,0,5,13,16,16,10,0,0,1,16,16,15,12,3,0,0,0,5,16,7,0,0,0,0,0,7,16,0,0,0,0,0,0,11,14,0,0,0,0
2364,0,1,13,16,8,1,0,0,0,8,14,10,16,8,0,0,0,11,14,15,16,9,0,0,0,0,8,7,6,16,4,0,0,0,0,0,0,16,4,0,0,0,1,0,0,14,8,0,0,3,16,2,10,15,1,0,0,2,13,16,12,1,0,0
2603,0,0,11,13,12,7,0,0,0,2,15,4,5,16,4,0,0,0,16,5,13,11,0,0,0,0,7,16,10,1,0,0,0,0,8,16,4,0,0,0,0,0,15,5,11,0,0,0,0,3,13,4,12,0,0,0,0,1,11,16,8,0,0,0
2625,0,0,2,16,7,0,0,0,0,0,5,16,16,2,0,0,0,0,4,16,16,1,0,0,0,0,3,16,16,0,0,0,0,0,1,16,16,0,0,0,0,0,3,16,16,0,0,0,0,0,4,16,16,0,0,0,0,0,0,14,16,0,0,0
2975,0,0,3,10,14,15,2,0,0,1,15,11,8,16,4,0,0,0,5,0,8,12,0,0,0,0,0,0,15,2,0,0,0,0,0,0,16,7,0,0,0,0,0,0,9,16,5,0,0,0,1,4,6,16,2,0,0,0,2,16,15,7,0,0
1576,0,1,8,14,16,5,0,0,0,5,15,7,11,11,0,0,0,0,1,0,11,9,0,0,0,0,3,11,16,3,0,0,0,0,12,16,16,15,3,0,0,0,2,1,1,12,8,0,0,0,5,9,14,15,3,0,0,0,11,12,8,1,0,0
3036,0,0,2,16,14,1,0,0,0,0,6,16,16,5,0,0,0,2,16,16,16,3,0,0,0,0,3,9,16,4,0,0,0,0,0,2,16,10,0,0,0,0,0,0,15,16,0,0,0,0,2,9,16,16,3,0,0,0,2,14,16,10,1,0
3530,0,0,3,12,14,8,5,0,0,2,14,8,10,16,14,0,0,4,12,0,4,16,11,0,0,2,16,10,13,16,4,0,0,0,5,8,9,16,0,0,0,0,0,0,11,9,0,0,0,0,0,5,15,2,0,0,0,0,2,13,6,0,0,0
899,0,1,10,13,16,9,0,0,0,11,16,14,16,16,2,0,0,7,6,3,16,11,0,0,0,0,0,5,16,9,0,0,0,0,0,3,16,12,0,0,0,0,0,0,9,16,5,0,0,0,3,9,16,15,1,0,0,0,12,15,11,1,0,0
2556,0,0,0,2,12,1,0,0,0,0,0,10,13,0,0,0,0,0,0,15,4,0,0,0,0,0,8,12,0,7,1,0,0,5,16,2,7,16,4,0,0,15,16,13,16,11,0,0,1,6,8,9,16,7,0,0,0,0,0,3,15,1,0,0
1910,0,0,4,13,13,8,0,0,0,0,16,1,1,11,2,0,0,4,13,0,0,6,7,0,0,3,14,0,9,14,2,0,0,0,9,15,14,1,0,0,0,0,5,16,9,0,0,0,0,0,8,12,15,2,0,0,0,0,4,15,13,2,0,0
76,0,1,9,15,16,8,0,0,0,7,16,12,16,8,0,0,0,0,2,0,16,8,0,0,0,1,8,12,16,10,1,0,0,4,16,16,16,16,11,0,0,0,12,16,3,4,2,0,0,0,9,16,0,0,0,0,0,0,14,11,0,0,0,0
3410,0,0,1,11,12,12,10,0,0,0,3,10,8,16,10,0,0,0,0,0,3,16,3,0,0,0,3,10,15,14,2,0,0,0,14,16,16,16,6,0,0,0,1,14,9,0,0,0,0,0,3,16,3,0,0,0,0,0,6,12,0,0,0,0
3493,0,0,2,15,12,0,0,0,0,0,11,8,15,4,0,0,0,0,13,4,12,4,0,0,0,0,1,1,15,0,0,0,0,0,0,10,9,0,0,0,0,0,8,15,1,0,0,0,0,6,16,13,8,8,2,0,0,0,4,10,12,13,6,0
1112,0,0,4,9,9,0,0,0,0,1,16,15,12,10,0,0,0,3,16,5,0,0,0,0,0,6,16,16,7,0,0,0,0,3,16,15,16,1,0,0,0,0,1,0,12,5,0,0,0,0,13,10,16,6,0,0,0,0,8,16,9,0,0,0
2031,0,0,0,0,12,3,0,0,0,0,0,2,15,0,0,0,0,0,0,9,9,0,0,0,0,0,3,15,0,3,10,0,0,1,14,3,0,14,6,0,0,10,16,15,13,16,1,0,0,9,10,8,14,11,0,0,0,0,0,0,12,2,0,0
1440,0,0,0,10,15,4,0,0,0,0,6,16,10,1,0,0,0,0,11,15,1,0,0,0,0,0,16,10,6,3,0,0,0,4,16,16,16,16,7,0,0,0,15,16,11,6,16,1,0,0,11,13,2,4,16,4,0,0,0,10,16,16,13,1
1256,0,0,14,14,16,15,0,0,0,4,16,13,12,8,0,0,0,6,13,0,0,0,0,0,0,5,16,12,4,0,0,0,0,3,14,16,14,0,0,0,0,0,0,0,12,12,0,0,0,0,10,8,15,10,0,0,0,0,15,16,11,1,0,0
2248,0,0,0,0,15,7,0,0,0,0,0,2,16,8,0,0,0,0,0,10,16,3,0,0,0,7,16,16,4,12,12,0,0,1,13,16,16,16,9,0,0,0,1,7,14,16,0,0,0,0,0,0,13,15,0,0,0,0,0,0,16,11,0,0
1794,0,1,7,12,12,2,0,0,0,10,16,16,16,10,0,0,0,0,2,1,16,8,0,0,0,0,0,1,16,9,0,0,0,0,0,2,16,14,0,0,0,0,0,0,4,15,5,0,0,0,3,7,7,16,10,0,0,0,7,16,16,12,0,0
1206,0,0,12,13,9,2,0,0,0,3,16,16,16,7,0,0,0,2,16,5,0,0,0,0,0,0,14,16,14,3,0,0,0,0,1,4,10,15,3,0,0,0,0,0,0,9,12,0,0,0,13,12,12,13,13,0,0,0,6,12,14,14,5,0
1978,0,0,2,14,16,15,9,0,0,1,14,11,5,9,14,0,0,4,14,0,3,12,11,0,0,6,13,9,15,15,1,0,0,2,13,15,15,11,0,0,0,0,0,4,15,0,0,0,0,0,1,13,11,0,0,0,0,0,3,16,5,0,0,0
1635,0,1,11,16,13,1,0,0,0,9,16,10,15,8,0,0,0,7,13,1,12,11,0,0,0,0,0,5,15,9,0,0,0,0,0,16,16,16,7,0,0,0,0,7,3,13,12,0,0,0,7,8,10,16,5,0,0,0,13,16,16,6,0,0
304,0,0,4,15,13,0,0,0,0,1,15,9,9,9,1,0,0,4,16,6,13,16,4,0,0,0,8,9,6,16,4,0,0,0,0,0,0,16,4,0,0,0,0,0,0,16,5,0,0,0,2,8,5,16,4,0,0,0,3,15,14,7,1,0
3280,0,5,16,16,15,2,0,0,0,11,13,8,11,15,0,0,0,1,1,0,7,16,0,0,0,0,0,11,16,14,1,0,0,0,0,12,12,15,11,0,0,0,0,0,0,8,12,0,0,5,11,4,3,12,11,0,0,4,14,16,16,16,4,0
3805,0,0,0,8,11,0,0,0,0,0,1,15,4,0,0,0,0,0,12,9,0,0,3,0,0,2,16,2,0,9,14,0,0,11,13,0,7,15,3,0,0,13,16,12,16,8,0,0,0,6,12,12,14,1,0,0,0,0,0,7,12,0,0,0
2196,0,0,1,13,14,11,0,0,0,0,10,12,12,16,4,0,0,0,15,0,2,9,6,0,0,5,13,0,0,6,9,0,0,5,12,0,0,5,7,0,0,1,13,2,0,9,4,0,0,0,12,11,7,11,0,0,0,0,2,15,12,3,0,0
2989,0,0,4,15,13,1,0,0,0,0,11,12,13,9,0,0,0,2,15,4,1,16,1,0,0,4,16,3,0,10,6,0,0,3,15,2,0,8,8,0,0,3,16,1,0,12,6,0,0,0,13,11,9,15,1,0,0,0,4,13,13,2,0,0
3794,0,0,2,13,16,15,4,0,0,0,9,16,16,16,6,0,0,0,0,0,3,16,7,0,0,0,0,0,4,16,1,0,0,0,2,11,14,16,4,0,0,0,10,16,16,15,2,0,0,0,3,14,11,0,0,0,0,0,3,14,1,0,0,0
2036,0,0,0,4,14,0,0,0,0,0,2,15,7,0,0,0,0,0,10,11,0,0,0,0,0,3,15,2,0,0,0,0,0,6,12,7,10,4,0,0,0,5,15,16,13,15,4,0,0,0,8,16,8,13,12,0,0,0,0,8,14,13,6,0
70,0,0,5,10,16,15,6,0,0,0,12,9,8,15,12,0,0,0,0,0,1,16,5,0,0,2,15,12,13,15,2,0,0,2,11,11,15,10,5,0,0,0,0,11,7,0,0,0,0,0,4,16,1,0,0,0,0,0,9,12,0,0,0,0
3200,0,0,0,3,9,0,0,0,0,0,0,9,11,0,0,0,0,0,0,15,5,0,2,0,0,0,11,12,0,14,8,0,0,3,16,12,11,16,8,0,0,7,12,12,15,16,4,0,0,0,0,0,12,7,0,0,0,0,0,5,13,2,0,0
1819,0,0,3,13,1,0,0,0,0,0,13,12,0,0,0,0,0,3,16,1,0,0,0,0,0,2,14,1,1,4,0,0,0,5,14,6,14,16,7,0,0,1,16,16,11,5,15,0,0,0,10,16,14,16,11,0,0,0,2,12,16,13,0,0
3203,0,0,4,12,14,2,0,0,0,4,15,10,10,10,0,0,0,9,16,0,5,12,0,0,0,5,16,9,14,16,4,0,0,0,7,8,7,15,6,0,0,0,0,0,0,10,12,0,0,0,1,4,4,14,12,0,0,0,3,13,16,11,4,0
1505,0,1,14,13,0,0,0,0,0,9,16,16,2,0,0,0,0,7,11,16,8,0,0,0,0,0,1,13,8,0,0,0,0,0,2,16,5,0,0,0,0,0,6,16,4,0,0,0,0,1,15,16,16,12,6,0,0,0,16,16,16,16,16,3
111,0,0,0,10,13,1,0,0,0,0,8,16,12,2,0,0,0,1,15,10,0,0,0,0,0,6,16,7,5,0,0,0,0,2,16,16,16,15,3,0,0,2,16,12,0,7,13,0,0,0,11,10,4,10,16,2,0,0,2,11,15,14,9,0
902,0,0,7,9,15,6,0,0,0,2,16,16,16,16,3,0,0,7,15,8,1,13,8,0,0,8,10,0,0,8,8,0,0,8,9,0,0,8,8,0,0,7,14,0,3,15,5,0,0,2,16,14,16,13,1,0,0,0,8,13,8,0,0,0
2105,0,2,7,14,16,12,0,0,0,9,16,16,15,13,2,0,0,3,16,7,2,0,0,0,0,0,13,9,0,0,0,0,0,0,7,15,1,0,0,0,0,0,2,15,5,0,0,0,0,1,16,16,7,0,0,0,0,0,9,16,4,0,0,0
2941,0,0,0,4,16,9,2,0,0,0,1,14,16,16,7,0,0,5,14,16,16,16,6,0,0,5,12,13,16,16,5,0,0,0,0,4,16,16,1,0,0,0,0,7,16,16,1,0,0,0,0,8,16,16,3,0,0,0,0,5,14,16,6,0
1804,0,0,0,7,15,0,0,0,0,0,7,16,10,0,0,0,0,1,16,9,0,12,8,0,0,9,14,1,5,16,7,0,0,8,15,8,12,16,9,0,0,3,15,16,16,11,1,0,0,0,0,7,16,1,0,0,0,0,0,7,13,0,0,0
1257,0,0,0,2,13,10,0,0,0,0,0,6,16,4,0,0,0,0,0,14,12,0,0,0,0,0,11,15,1,6,1,0,0,6,16,5,6,16,6,0,4,15,16,12,14,16,2,0,1,8,12,13,16,10,0,0,0,0,0,4,15,4,0,0
665,0,0,7,12,14,12,8,0,0,0,10,8,9,16,14,0,0,0,0,0,2,16,6,0,0,0,6,16,13,14,1,0,0,0,3,10,16,10,0,0,0,0,0,14,11,0,0,0,0,0,3,16,3,0,0,0,0,0,8,11,0,0,0,0
1973,0,0,1,8,13,12,1,0,0,1,15,8,4,14,6,0,0,6,10,0,1,10,8,0,0,7,12,5,11,16,7,0,0,2,11,12,10,16,2,0,0,0,0,0,9,10,0,0,0,0,0,4,16,1,0,0,0,0,0,12,7,0,0,0
2536,0,0,3,16,6,0,0,0,0,0,10,14,4,0,0,0,0,0,15,10,0,0,0,0,0,2,16,4,0,0,0,0,0,5,16,15,14,6,0,0,0,3,16,16,12,16,4,0,0,0,15,14,6,13,12,0,0,0,3,10,13,10,4,0
260,0,0,3,14,16,16,12,0,0,2,15,16,11,8,6,0,0,9,16,4,0,0,0,0,0,9,16,16,14,3,0,0,0,0,9,9,14,14,0,0,0,0,0,0,5,16,0,0,0,0,0,4,14,12,0,0,0,0,2,16,13,3,0,0
3262,0,0,1,12,6,0,0,0,0,0,10,13,1,0,0,0,0,0,16,1,0,0,0,0,0,2,12,0,0,0,0,0,0,4,15,14,16,15,4,0,0,3,16,4,0,2,13,0,0,0,11,7,0,4,15,0,0,0,0,10,16,14,5,0
83,0,0,0,4,16,4,0,0,0,0,0,14,14,2,0,0,0,0,7,16,5,1,3,0,0,4,16,11,1,13,11,0,0,13,16,13,13,16,8,0,0,9,16,16,16,16,4,0,0,0,0,4,16,7,0,0,0,0,0,5,16,9,0,0
2971,0,0,2,11,14,5,0,0,0,1,14,13,13,8,0,0,0,5,16,0,1,1,0,0,0,3,16,6,12,16,5,0,0,0,9,16,16,8,2,0,0,2,14,12,12,13,1,0,0,2,15,7,2,14,7,0,0,0,3,13,14,12,1,0
2762,0,0,2,13,12,1,0,0,0,0,10,14,9,12,0,0,0,1,15,1,0,11,1,0,0,4,13,0,0,10,5,0,0,3,10,0,0,11,8,0,0,2,10,0,3,16,5,0,0,0,11,13,16,8,0,0,0,0,3,13,8,0,0,0
1770,0,0,3,11,12,4,0,0,0,2,15,10,16,12,0,0,0,5,11,0,11,14,4,0,0,8,8,0,0,5,8,0,0,6,8,0,0,4,8,0,0,4,10,0,0,10,5,0,0,1,14,5,7,14,0,0,0,0,7,15,10,1,0,0
3559,0,0,1,14,7,0,0,0,0,0,6,14,12,6,0,0,0,0,11,11,0,12,0,0,0,0,13,8,0,7,5,0,0,0,15,6,0,5,8,0,0,0,12,3,0,10,9,0,0,0,10,10,9,15,4,0,0,0,2,11,14,7,0,0
827,0,0,3,11,13,10,0,0,0,3,15,7,4,14,2,0,0,8,13,1,1,14,2,0,0,7,13,14,10,13,0,0,0,0,1,14,16,1,0,0,0,0,10,11,10,10,0,0,0,0,11,6,3,13,0,0,0,0,3,13,16,9,0,0
2579,0,0,2,15,12,0,0,0,0,0,10,15,3,0,0,0,0,8,16,4,0,13,7,0,0,10,16,1,2,16,10,0,0,9,16,12,14,14,1,0,0,0,6,12,16,7,0,0,0,0,0,14,13,0,0,0,0,0,2,16,8,0,0,0
2102,0,0,7,16,10,0,0,0,0,1,16,14,16,9,0,0,0,0,11,16,16,15,0,0,0,0,0,7,13,14,0,0,0,0,0,0,11,14,0,0,0,0,0,0,13,12,0,0,0,0,1,11,15,3,0,0,0,0,6,16,6,0,0,0
1329,0,0,14,11,7,1,0,0,0,2,16,16,16,14,4,0,0,0,15,11,0,6,3,0,0,0,7,14,0,0,0,0,0,0,2,16,4,0,0,0,0,0,1,12,12,0,0,0,0,4,12,14,11,0,0,0,0,0,14,16,6,0,0,0
15,0,1,10,15,8,0,0,0,0,6,16,7,11,8,0,0,0,7,16,3,1,13,1,0,0,7,13,0,0,10,6,0,0,8,12,0,0,14,4,0,0,3,16,0,6,15,2,0,0,0,15,9,16,4,0,0,0,0,9,15,8,0,0,0
1477,0,0,4,14,16,7,0,0,0,1,16,14,8,5,0,0,0,8,10,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,16,5,0,0,0,0,0,7,16,4,0,0,0
2278,0,0,0,3,14,0,0,0,0,0,1,14,12,8,2,0,0,0,9,15,6,16,4,0,0,3,16,14,12,16,5,0,0,3,13,16,16,16,8,0,0,0,0,0,16,11,1,0,0,0,0,2,16,4,0,0,0,0,0,3,12,4,0,0
2375,0,2,8,15,15,3,0,0,0,11,16,12,15,12,0,0,0,4,7,0,10,14,0,0,0,0,0,0,8,16,0,0,0,0,0,0,7,16,2,0,0,0,0,0,1,15,8,0,0,0,1,6,11,16,7,0,0,0,8,16,10,5,0,0
